Table 1
group_Nr;M;A;FU;H;I;SU;N;S;C;L;D;P;MF;CP;Nr_of_Factor;ID;Tube.ID;Tea_bag_Nr;Decom;pH;WSA;;;;;;;
211;1;1;1;1;0;1;1;1;0;1;1;1;0;0;10;211;301;317;0,6628099174;5,64;0,49;;;;;;;
212;0;1;1;1;1;1;0;1;1;0;1;1;1;0;10;212;204;296;0,6065904506;5,61;0,49;;;;;;;
213;1;1;0;1;1;0;0;1;1;0;1;1;1;1;10;213;49;335;0,6492985972;5,79;0,66;;;;;;;
214;0;1;1;1;1;0;1;1;1;0;1;1;1;0;10;214;193;141;0,5950879522;5,7;0,47;;;;;;;
215;0;1;1;1;1;1;0;1;1;1;0;0;1;1;10;215;253;299;0,6355733868;5,73;0,65;;;;;;;
216;0;1;1;0;1;1;1;1;1;1;1;0;0;1;10;216;60;247;0,5449983272;5,71;0,47;;;;;;;
217;0;0;1;1;1;1;1;1;0;0;1;1;1;1;10;217;260;94;0,6848809923;5,12;0,57;;;;;;;
218;0;1;1;1;1;1;1;1;0;1;1;0;1;0;10;218;287;46;0,6190791653;6,56;0,53;;;;;;;
219;1;1;0;0;1;1;0;1;1;1;0;1;1;1;10;219;206;125;0,618729097;5,6;0,45;;;;;;;
220;1;1;0;0;0;0;1;1;1;1;1;1;1;1;10;220;188;204;0,6365455152;5,78;0,54;;;;;;;
221;0;1;1;1;1;1;1;1;0;0;1;1;0;1;10;221;154;314;0,6393117141;5,74;0,51;;;;;;;
222;1;1;1;1;0;1;0;1;0;1;1;1;1;0;10;222;224;70;0,6062729396;5,79;0,57;;;;;;;
223;1;1;0;1;0;1;1;1;1;1;0;1;1;0;10;223;244;41;0,651278645;5,81;0,62;;;;;;;
